id,name
training_36_foundation,36TH FOUNDATION TRAINING COURSE
training_60_Law_adm,60TH LAW AND ADMINISTRATION COURSE
training_fiscal_economy,FISCAL ECONOMICS & ECONOMIC MANAGEMENT
training_best,BUILDING ESSENTIAL SKILLS IS TRAINING (BEST)
training_land_Management,Land Record Management and Servey (short) Course
training_bcs_orientation_course,BCS Officers Orientation Course
training_management_development,Management Development Programme
training_masters_public_administration,Masters of Public Administration
training_mid_career_training_programme,Mid Career Training Programme(22nd Batch)
